,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,160340,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
1,160341,wired Headphones,1,"[11.99, 26]",NA,NA
2,160342,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
3,160343,Apple Airpods Headphones,1,"[150, 22]",NA,NA
4,160344,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
5,160345,Apple Airpods Headphones,1,"[150, 22]",NA,NA
6,160346,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
7,160347,wired Headphones,1,"[11.99, 26]",NA,NA
8,160348,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
9,160349,Google Phone,1,"[600, 8]",NA,NA
10,160350,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
11,160351,20in Monitor,1,"[109.99, 6]",NA,NA
12,160352,27in FHD Monitor,1,"[149.99, 11]",NA,NA
13,160353,Flatscreen Tv,1,"[300, 7]",NA,NA
14,160354,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
15,160355,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
16,160356,Apple Airpods Headphones,1,"[150, 22]",NA,NA
17,160357,wired Headphones,1,"[11.99, 26]",NA,NA
18,160358,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
19,160359,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
20,160360,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
21,160361,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
22,160362,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
23,160363,27in FHD Monitor,1,"[149.99, 11]",NA,NA
24,160364,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
25,160365,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
26,160366,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
27,160367,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
28,160368,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
29,160369,27in FHD Monitor,1,"[149.99, 11]",NA,NA
30,160370,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
31,160371,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
32,160372,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
33,160373,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
34,160374,27in FHD Monitor,1,"[149.99, 11]",NA,NA
35,160375,Apple Airpods Headphones,1,"[150, 22]",NA,NA
36,160376,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
37,160377,Flatscreen Tv,1,"[300, 7]",NA,NA
38,160378,Apple Airpods Headphones,1,"[150, 22]",NA,NA
39,160379,iphone,1,"[700, 10]",NA,NA
40,160380,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
41,160381,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
42,160382,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
43,160383,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
44,160384,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
45,160385,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
46,160386,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
47,160387,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
48,160388,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
49,160389,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
50,160390,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
51,160391,wired Headphones,1,"[11.99, 26]",NA,NA
52,160392,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
53,160393,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
54,160394,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
55,160395,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
56,160396,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
57,160397,wired Headphones,1,"[11.99, 26]",NA,NA
58,160398,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
59,160399,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
60,160400,20in Monitor,1,"[109.99, 6]",NA,NA
61,160401,27in FHD Monitor,1,"[149.99, 11]",NA,NA
62,160402,27in FHD Monitor,1,"[149.99, 11]",NA,NA
63,160403,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
64,160404,Apple Airpods Headphones,1,"[150, 22]",NA,NA
65,160405,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
66,160406,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
67,160407,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
68,160408,Google Phone,1,"[600, 8]",NA,NA
69,160409,Apple Airpods Headphones,1,"[150, 22]",NA,NA
70,160410,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
71,160411,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
72,160412,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
73,160413,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
74,160414,wired Headphones,1,"[11.99, 26]",NA,NA
75,160415,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
76,160416,Apple Airpods Headphones,1,"[150, 22]",NA,NA
77,160417,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
78,160418,Verybad Phone,1,"[400, 3]",NA,NA
79,160419,wired Headphones,1,"[11.99, 26]",NA,NA
80,160420,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
81,160421,20in Monitor,1,"[109.99, 6]",NA,NA
