,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,195454,Apple Airpods Headphones,1,"[150, 22]",NA,NA
1,195455,wired Headphones,1,"[11.99, 26]",NA,NA
2,195456,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
3,195457,Apple Airpods Headphones,1,"[150, 22]",NA,NA
4,195458,27in FHD Monitor,1,"[149.99, 11]",NA,NA
5,195459,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
6,195460,20in Monitor,1,"[109.99, 6]",NA,NA
7,195461,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
8,195462,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
9,195463,wired Headphones,1,"[11.99, 26]",NA,NA
10,195464,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
11,195465,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
12,195466,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
13,195467,iphone,1,"[700, 10]",NA,NA
14,195468,Apple Airpods Headphones,1,"[150, 22]",NA,NA
15,195469,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
16,195470,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
17,195471,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
18,195472,wired Headphones,1,"[11.99, 26]",NA,NA
19,195473,Google Phone,1,"[600, 8]",NA,NA
20,195474,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
21,195475,Apple Airpods Headphones,1,"[150, 22]",NA,NA
22,195476,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
23,195477,Google Phone,1,"[600, 8]",NA,NA
24,195478,iphone,1,"[700, 10]",NA,NA
25,195479,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
26,195480,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
27,195481,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
28,195482,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
29,195483,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
30,195484,iphone,1,"[700, 10]",NA,NA
31,195485,Apple Airpods Headphones,1,"[150, 22]",NA,NA
32,195486,27in FHD Monitor,1,"[149.99, 11]",NA,NA
33,195487,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
34,195488,Flatscreen Tv,1,"[300, 7]",NA,NA
35,195489,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
36,195490,Apple Airpods Headphones,1,"[150, 22]",NA,NA
37,195491,Flatscreen Tv,1,"[300, 7]",NA,NA
38,195492,Flatscreen Tv,1,"[300, 7]",NA,NA
39,195493,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
40,195494,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
41,195495,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
42,195496,Google Phone,1,"[600, 8]",NA,NA
43,195497,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
44,195498,27in FHD Monitor,1,"[149.99, 11]",NA,NA
45,195499,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
46,195500,wired Headphones,1,"[11.99, 26]",NA,NA
47,195501,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
48,195502,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
49,195503,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
