,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,249501,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
1,249502,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
2,249503,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
3,249504,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
4,249505,Apple Airpods Headphones,1,"[150, 22]",NA,NA
5,249506,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
6,249507,Google Phone,1,"[600, 8]",NA,NA
7,249508,Apple Airpods Headphones,1,"[150, 22]",NA,NA
8,249509,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
9,249510,iphone,1,"[700, 10]",NA,NA
10,249511,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
11,249512,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
12,249513,27in FHD Monitor,1,"[149.99, 11]",NA,NA
13,249514,iphone,1,"[700, 10]",NA,NA
14,249515,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
15,249516,iphone,1,"[700, 10]",NA,NA
16,249517,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
17,249518,Apple Airpods Headphones,1,"[150, 22]",NA,NA
18,249519,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
19,249520,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
20,249521,wired Headphones,1,"[11.99, 26]",NA,NA
21,249522,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
22,249523,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
23,249524,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
24,249525,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
25,249526,Google Phone,1,"[600, 8]",NA,NA
26,249527,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
27,249528,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
28,249529,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
29,249530,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
30,249531,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
31,249532,Apple Airpods Headphones,1,"[150, 22]",NA,NA
32,249533,Apple Airpods Headphones,1,"[150, 22]",NA,NA
33,249534,wired Headphones,1,"[11.99, 26]",NA,NA
34,249535,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
35,249536,wired Headphones,1,"[11.99, 26]",NA,NA
36,249537,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
37,249538,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
38,249539,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
39,249540,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
40,249541,Apple Airpods Headphones,1,"[150, 22]",NA,NA
41,249542,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
42,249543,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
43,249544,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
44,249545,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
45,249546,iphone,1,"[700, 10]",NA,NA
46,249547,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
47,249548,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
48,249549,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
49,249550,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
50,249551,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
51,249552,27in FHD Monitor,1,"[149.99, 11]",NA,NA
52,249553,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
53,249554,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
54,249555,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
55,249556,Apple Airpods Headphones,1,"[150, 22]",NA,NA
56,249557,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
57,249558,27in FHD Monitor,1,"[149.99, 11]",NA,NA
58,249559,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
59,249560,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
60,249561,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
61,249562,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
62,249563,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
63,249564,27in FHD Monitor,1,"[149.99, 11]",NA,NA
64,249565,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
65,249566,wired Headphones,1,"[11.99, 26]",NA,NA
66,249567,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
67,249568,Google Phone,1,"[600, 8]",NA,NA
68,249569,Apple Airpods Headphones,1,"[150, 22]",NA,NA
69,249570,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
70,249571,27in FHD Monitor,1,"[149.99, 11]",NA,NA
71,249572,Apple Airpods Headphones,1,"[150, 22]",NA,NA
72,249573,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
73,249574,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
74,249575,iphone,1,"[700, 10]",NA,NA
75,249576,Apple Airpods Headphones,1,"[150, 22]",NA,NA
76,249577,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
77,249578,wired Headphones,1,"[11.99, 26]",NA,NA
78,249579,iphone,1,"[700, 10]",NA,NA
79,249580,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
80,249581,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
81,249582,wired Headphones,1,"[11.99, 26]",NA,NA
82,249583,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
83,249584,Apple Airpods Headphones,1,"[150, 22]",NA,NA
84,249585,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
85,249586,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
86,249587,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
87,249588,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
88,249589,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
89,249590,wired Headphones,1,"[11.99, 26]",NA,NA
90,249591,Apple Airpods Headphones,1,"[150, 22]",NA,NA
91,249592,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
92,249593,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
93,249594,iphone,1,"[700, 10]",NA,NA
94,249595,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
95,249596,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
96,249597,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
97,249598,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
98,249599,Flatscreen Tv,1,"[300, 7]",NA,NA
99,249600,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
100,249601,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
101,249602,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
102,249603,Apple Airpods Headphones,1,"[150, 22]",NA,NA
103,249604,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
104,249605,20in Monitor,1,"[109.99, 6]",NA,NA
105,249606,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
106,249607,20in Monitor,1,"[109.99, 6]",NA,NA
107,249608,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
108,249609,iphone,1,"[700, 10]",NA,NA
109,249610,Apple Airpods Headphones,1,"[150, 22]",NA,NA
110,249611,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
111,249612,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
112,249613,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
113,249614,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
114,249615,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
115,249616,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
116,249617,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
117,249618,wired Headphones,1,"[11.99, 26]",NA,NA
118,249619,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
119,249620,wired Headphones,1,"[11.99, 26]",NA,NA
120,249621,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
121,249622,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
122,249623,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
123,249624,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
124,249625,wired Headphones,1,"[11.99, 26]",NA,NA
125,249626,Apple Airpods Headphones,1,"[150, 22]",NA,NA
126,249627,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
127,249628,wired Headphones,1,"[11.99, 26]",NA,NA
128,249629,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
129,249630,Verybad Phone,1,"[400, 3]",NA,NA
130,249631,wired Headphones,1,"[11.99, 26]",NA,NA
131,249632,Google Phone,1,"[600, 8]",NA,NA
132,249633,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
133,249634,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
134,249635,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
135,249636,20in Monitor,1,"[109.99, 6]",NA,NA
136,249637,iphone,1,"[700, 10]",NA,NA
137,249638,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
138,249639,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
139,249640,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
140,249641,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
141,249642,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
142,249643,iphone,1,"[700, 10]",NA,NA
143,249644,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
144,249645,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
145,249646,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
146,249647,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
147,249648,wired Headphones,1,"[11.99, 26]",NA,NA
148,249649,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
149,249650,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
150,249651,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
151,249652,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
152,249653,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
153,249654,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
154,249655,Apple Airpods Headphones,1,"[150, 22]",NA,NA
155,249656,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
156,249657,Apple Airpods Headphones,1,"[150, 22]",NA,NA
157,249658,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
158,249659,Flatscreen Tv,1,"[300, 7]",NA,NA
159,249660,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
160,249661,20in Monitor,1,"[109.99, 6]",NA,NA
161,249662,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
162,249663,wired Headphones,1,"[11.99, 26]",NA,NA
163,249664,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
164,249665,Apple Airpods Headphones,1,"[150, 22]",NA,NA
165,249666,iphone,1,"[700, 10]",NA,NA
166,249667,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
167,249668,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
168,249669,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
169,249670,wired Headphones,1,"[11.99, 26]",NA,NA
170,249671,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
171,249672,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
172,249673,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
173,249674,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
174,249675,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
175,249676,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
176,249677,wired Headphones,1,"[11.99, 26]",NA,NA
177,249678,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
178,249679,27in FHD Monitor,1,"[149.99, 11]",NA,NA
179,249680,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
180,249681,wired Headphones,1,"[11.99, 26]",NA,NA
181,249682,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
182,249683,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
183,249684,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
184,249685,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
185,249686,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
186,249687,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
187,249688,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
188,249689,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
189,249690,iphone,1,"[700, 10]",NA,NA
190,249691,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
191,249692,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
192,249693,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
193,249694,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
194,249695,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
195,249696,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
196,249697,Apple Airpods Headphones,1,"[150, 22]",NA,NA
197,249698,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
198,249699,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
199,249700,Apple Airpods Headphones,1,"[150, 22]",NA,NA
200,249701,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
201,249702,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
202,249703,wired Headphones,1,"[11.99, 26]",NA,NA
203,249704,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
204,249705,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
205,249706,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
206,249707,Apple Airpods Headphones,1,"[150, 22]",NA,NA
207,249708,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
208,249709,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
209,249710,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
210,249711,Apple Airpods Headphones,1,"[150, 22]",NA,NA
211,249712,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
212,249713,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
213,249714,wired Headphones,1,"[11.99, 26]",NA,NA
214,249715,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
215,249716,iphone,1,"[700, 10]",NA,NA
216,249717,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
217,249718,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
218,249719,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
