,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,149718,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
1,149719,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
2,149720,20in Monitor,1,"[109.99, 6]",NA,NA
3,149721,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
4,149722,20in Monitor,1,"[109.99, 6]",NA,NA
5,149723,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
6,149724,wired Headphones,1,"[11.99, 26]",NA,NA
7,149725,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
8,149726,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
9,149727,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
10,149728,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
11,149729,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
12,149730,wired Headphones,1,"[11.99, 26]",NA,NA
13,149731,LG Dryer,1,"[600.0, 1]",NA,NA
14,149732,iphone,1,"[700, 10]",NA,NA
15,149733,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
16,149734,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
17,149735,wired Headphones,1,"[11.99, 26]",NA,NA
18,149736,wired Headphones,1,"[11.99, 26]",NA,NA
19,149737,27in FHD Monitor,1,"[149.99, 11]",NA,NA
20,149738,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
21,149739,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
22,149740,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
23,149741,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
24,149742,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
25,149743,iphone,1,"[700, 10]",NA,NA
26,149744,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
27,149745,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
28,149746,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
29,149747,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
30,149748,Google Phone,1,"[600, 8]",NA,NA
31,149749,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
32,149750,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
33,149751,Apple Airpods Headphones,1,"[150, 22]",NA,NA
34,149752,Apple Airpods Headphones,1,"[150, 22]",NA,NA
35,149753,wired Headphones,1,"[11.99, 26]",NA,NA
36,149754,wired Headphones,1,"[11.99, 26]",NA,NA
37,149755,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
38,149756,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
39,149757,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
40,149758,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
41,149759,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
42,149760,iphone,1,"[700, 10]",NA,NA
43,149761,wired Headphones,1,"[11.99, 26]",NA,NA
44,149762,Apple Airpods Headphones,1,"[150, 22]",NA,NA
45,149763,Apple Airpods Headphones,1,"[150, 22]",NA,NA
46,149764,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
47,149765,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
48,149766,iphone,1,"[700, 10]",NA,NA
49,149767,27in FHD Monitor,1,"[149.99, 11]",NA,NA
50,149768,20in Monitor,1,"[109.99, 6]",NA,NA
51,149769,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
52,149770,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
53,149771,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
54,149772,Apple Airpods Headphones,1,"[150, 22]",NA,NA
55,149773,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
56,149774,Apple Airpods Headphones,1,"[150, 22]",NA,NA
57,149775,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
58,149776,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
59,149777,Apple Airpods Headphones,1,"[150, 22]",NA,NA
60,149778,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
61,149779,Google Phone,1,"[600, 8]",NA,NA
62,149780,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
63,149781,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
64,149782,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
65,149783,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
66,149784,27in FHD Monitor,1,"[149.99, 11]",NA,NA
67,149785,Verybad Phone,1,"[400, 3]",NA,NA
68,149786,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
69,149787,27in FHD Monitor,1,"[149.99, 11]",NA,NA
70,149788,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
71,149789,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
72,149790,iphone,1,"[700, 10]",NA,NA
73,149791,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
74,149792,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
75,149793,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
76,149794,Apple Airpods Headphones,1,"[150, 22]",NA,NA
77,149795,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
78,149796,wired Headphones,1,"[11.99, 26]",NA,NA
79,149797,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
80,149798,wired Headphones,1,"[11.99, 26]",NA,NA
81,149799,27in FHD Monitor,1,"[149.99, 11]",NA,NA
82,149800,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
83,149801,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
84,149802,wired Headphones,1,"[11.99, 26]",NA,NA
85,149803,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
86,149804,27in FHD Monitor,1,"[149.99, 11]",NA,NA
87,149805,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
88,149806,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
89,149807,iphone,1,"[700, 10]",NA,NA
90,149808,Apple Airpods Headphones,1,"[150, 22]",NA,NA
91,149809,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
92,149810,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
93,149811,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
94,149812,Apple Airpods Headphones,1,"[150, 22]",NA,NA
95,149813,wired Headphones,1,"[11.99, 26]",NA,NA
96,149814,Flatscreen Tv,1,"[300, 7]",NA,NA
97,149815,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
98,149816,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
99,149817,wired Headphones,1,"[11.99, 26]",NA,NA
100,149818,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
101,149819,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
102,149820,Apple Airpods Headphones,1,"[150, 22]",NA,NA
103,149821,wired Headphones,1,"[11.99, 26]",NA,NA
104,149822,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
105,149823,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
106,149824,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
107,149825,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
108,149826,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
109,149827,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
110,149828,wired Headphones,1,"[11.99, 26]",NA,NA
111,149829,Apple Airpods Headphones,1,"[150, 22]",NA,NA
112,149830,Apple Airpods Headphones,1,"[150, 22]",NA,NA
113,149831,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
114,149832,Apple Airpods Headphones,1,"[150, 22]",NA,NA
115,149833,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
116,149834,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
117,149835,wired Headphones,1,"[11.99, 26]",NA,NA
118,149836,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
119,149837,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
120,149838,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
121,149839,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
122,149840,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
123,149841,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
124,149842,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
125,149843,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
126,149844,Apple Airpods Headphones,1,"[150, 22]",NA,NA
127,149845,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
128,149846,Verybad Phone,1,"[400, 3]",NA,NA
129,149847,iphone,1,"[700, 10]",NA,NA
130,149848,iphone,1,"[700, 10]",NA,NA
131,149849,wired Headphones,1,"[11.99, 26]",NA,NA
132,149850,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
133,149851,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
134,149852,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
135,149853,Apple Airpods Headphones,1,"[150, 22]",NA,NA
136,149854,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
137,149855,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
138,149856,wired Headphones,1,"[11.99, 26]",NA,NA
139,149857,iphone,1,"[700, 10]",NA,NA
140,149858,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
141,149859,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
142,149860,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
143,149861,Apple Airpods Headphones,1,"[150, 22]",NA,NA
144,149862,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
145,149863,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
146,149864,wired Headphones,1,"[11.99, 26]",NA,NA
147,149865,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
148,149866,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
149,149867,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
150,149868,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
151,149869,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
152,149870,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
153,149871,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
154,149872,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
155,149873,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
156,149874,Google Phone,1,"[600, 8]",NA,NA
157,149875,Apple Airpods Headphones,1,"[150, 22]",NA,NA
158,149876,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
159,149877,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
160,149878,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
161,149879,wired Headphones,1,"[11.99, 26]",NA,NA
162,149880,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
163,149881,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
164,149882,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
165,149883,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
166,149884,Apple Airpods Headphones,1,"[150, 22]",NA,NA
167,149885,Apple Airpods Headphones,1,"[150, 22]",NA,NA
168,149886,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
169,149887,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
170,149888,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
171,149889,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
172,149890,Apple Airpods Headphones,1,"[150, 22]",NA,NA
173,149891,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
174,149892,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
175,149893,Flatscreen Tv,1,"[300, 7]",NA,NA
176,149894,Google Phone,1,"[600, 8]",NA,NA
177,149895,Flatscreen Tv,1,"[300, 7]",NA,NA
178,149896,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
