,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,143253,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
1,143254,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
2,143255,Apple Airpods Headphones,1,"[150, 22]",NA,NA
3,143256,wired Headphones,1,"[11.99, 26]",NA,NA
4,143257,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
5,143258,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
6,143259,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
7,143260,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
8,143261,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
9,143262,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
10,143263,Apple Airpods Headphones,1,"[150, 22]",NA,NA
11,143264,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
12,143265,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
13,143266,27in FHD Monitor,1,"[149.99, 11]",NA,NA
14,143267,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
15,143268,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
16,143269,iphone,1,"[700, 10]",NA,NA
17,143270,iphone,1,"[700, 10]",NA,NA
18,143271,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
19,143272,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
20,143273,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
21,143274,Apple Airpods Headphones,1,"[150, 22]",NA,NA
22,143275,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
23,143276,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
24,143277,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
25,143278,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
26,143279,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
27,143280,wired Headphones,1,"[11.99, 26]",NA,NA
28,143281,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
29,143282,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
30,143283,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
31,143284,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
32,143285,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
33,143286,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
34,143287,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
35,143288,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
36,143289,wired Headphones,1,"[11.99, 26]",NA,NA
37,143290,wired Headphones,1,"[11.99, 26]",NA,NA
38,143291,20in Monitor,1,"[109.99, 6]",NA,NA
39,143292,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
40,143293,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
41,143294,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
42,143295,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
43,143296,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
44,143297,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
45,143298,20in Monitor,1,"[109.99, 6]",NA,NA
46,143299,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
47,143300,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
48,143301,Apple Airpods Headphones,1,"[150, 22]",NA,NA
49,143302,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
50,143303,Apple Airpods Headphones,1,"[150, 22]",NA,NA
51,143304,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
52,143305,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
53,143306,wired Headphones,1,"[11.99, 26]",NA,NA
54,143307,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
55,143308,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
56,143309,27in FHD Monitor,1,"[149.99, 11]",NA,NA
57,143310,wired Headphones,1,"[11.99, 26]",NA,NA
58,143311,Apple Airpods Headphones,1,"[150, 22]",NA,NA
59,143312,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
60,143313,Apple Airpods Headphones,1,"[150, 22]",NA,NA
61,143314,20in Monitor,1,"[109.99, 6]",NA,NA
62,143315,iphone,1,"[700, 10]",NA,NA
63,143316,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
64,143317,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
65,143318,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
66,143319,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
67,143320,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
68,143321,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
69,143322,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
70,143323,20in Monitor,1,"[109.99, 6]",NA,NA
71,143324,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
72,143325,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
73,143326,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
74,143327,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
75,143328,wired Headphones,1,"[11.99, 26]",NA,NA
76,143329,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
77,143330,Flatscreen Tv,1,"[300, 7]",NA,NA
78,143331,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
79,143332,27in FHD Monitor,1,"[149.99, 11]",NA,NA
80,143333,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
81,143334,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
82,143335,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
83,143336,27in FHD Monitor,1,"[149.99, 11]",NA,NA
84,143337,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
85,143338,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
86,143339,wired Headphones,1,"[11.99, 26]",NA,NA
87,143340,Google Phone,1,"[600, 8]",NA,NA
88,143341,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
89,143342,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
90,143343,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
91,143344,iphone,1,"[700, 10]",NA,NA
92,143345,Apple Airpods Headphones,1,"[150, 22]",NA,NA
93,143346,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
94,143347,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
95,143348,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
96,143349,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
97,143350,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
98,143351,iphone,1,"[700, 10]",NA,NA
99,143352,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
100,143353,wired Headphones,1,"[11.99, 26]",NA,NA
101,143354,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
102,143355,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
103,143356,wired Headphones,1,"[11.99, 26]",NA,NA
104,143357,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
105,143358,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
106,143359,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
107,143360,iphone,1,"[700, 10]",NA,NA
108,143361,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
109,143362,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
110,143363,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
111,143364,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
112,143365,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
113,143366,27in FHD Monitor,1,"[149.99, 11]",NA,NA
114,143367,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
115,143368,wired Headphones,1,"[11.99, 26]",NA,NA
116,143369,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
117,143370,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
118,143371,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
119,143372,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
120,143373,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
121,143374,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
122,143375,Flatscreen Tv,1,"[300, 7]",NA,NA
123,143376,27in FHD Monitor,1,"[149.99, 11]",NA,NA
124,143377,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
125,143378,Flatscreen Tv,1,"[300, 7]",NA,NA
126,143379,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
127,143380,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
128,143381,Flatscreen Tv,1,"[300, 7]",NA,NA
129,143382,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
130,143383,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
131,143384,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
132,143385,27in FHD Monitor,1,"[149.99, 11]",NA,NA
133,143386,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
134,143387,Apple Airpods Headphones,1,"[150, 22]",NA,NA
135,143388,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
136,143389,wired Headphones,1,"[11.99, 26]",NA,NA
137,143390,Apple Airpods Headphones,1,"[150, 22]",NA,NA
138,143391,wired Headphones,1,"[11.99, 26]",NA,NA
139,143392,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
140,143393,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
141,143394,wired Headphones,1,"[11.99, 26]",NA,NA
142,143395,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
143,143396,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
144,143397,27in FHD Monitor,1,"[149.99, 11]",NA,NA
145,143398,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
146,143399,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
147,143400,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
148,143401,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
149,143402,Apple Airpods Headphones,1,"[150, 22]",NA,NA
150,143403,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
151,143404,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
152,143405,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
153,143406,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
154,143407,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
155,143408,Google Phone,1,"[600, 8]",NA,NA
156,143409,wired Headphones,1,"[11.99, 26]",NA,NA
157,143410,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
158,143411,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
159,143412,wired Headphones,1,"[11.99, 26]",NA,NA
160,143413,Flatscreen Tv,1,"[300, 7]",NA,NA
161,143414,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
162,143415,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
163,143416,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
164,143417,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
