,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,184797,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
1,184798,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
2,184799,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
3,184800,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
4,184801,27in FHD Monitor,1,"[149.99, 11]",NA,NA
5,184802,iphone,1,"[700, 10]",NA,NA
6,184803,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
7,184804,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
8,184805,Verybad Phone,1,"[400, 3]",NA,NA
9,184806,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
10,184807,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
11,184808,Apple Airpods Headphones,1,"[150, 22]",NA,NA
12,184809,Apple Airpods Headphones,1,"[150, 22]",NA,NA
13,184810,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
14,184811,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
15,184812,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
16,184813,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
17,184814,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
18,184815,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
19,184816,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
20,184817,27in FHD Monitor,1,"[149.99, 11]",NA,NA
21,184818,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
22,184819,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
23,184820,Google Phone,1,"[600, 8]",NA,NA
24,184821,wired Headphones,1,"[11.99, 26]",NA,NA
25,184822,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
26,184823,wired Headphones,1,"[11.99, 26]",NA,NA
27,184824,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
28,184825,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
29,184826,27in FHD Monitor,1,"[149.99, 11]",NA,NA
30,184827,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
31,184828,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
32,184829,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
33,184830,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
34,184831,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
35,184832,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
36,184833,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
37,184834,Verybad Phone,1,"[400, 3]",NA,NA
38,184835,iphone,1,"[700, 10]",NA,NA
39,184836,Apple Airpods Headphones,1,"[150, 22]",NA,NA
40,184837,Apple Airpods Headphones,1,"[150, 22]",NA,NA
41,184838,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
42,184839,iphone,1,"[700, 10]",NA,NA
43,184840,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
44,184841,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
45,184842,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
46,184843,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
47,184844,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
48,184845,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
49,184846,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
50,184847,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
51,184848,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
52,184849,27in FHD Monitor,1,"[149.99, 11]",NA,NA
53,184850,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
54,184851,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
55,184852,iphone,1,"[700, 10]",NA,NA
56,184853,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
57,184854,wired Headphones,1,"[11.99, 26]",NA,NA
58,184855,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
59,184856,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
60,184857,Google Phone,1,"[600, 8]",NA,NA
61,184858,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
62,184859,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
63,184860,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
64,184861,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
65,184862,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
66,184863,wired Headphones,1,"[11.99, 26]",NA,NA
67,184864,iphone,1,"[700, 10]",NA,NA
68,184865,Apple Airpods Headphones,1,"[150, 22]",NA,NA
69,184866,Apple Airpods Headphones,1,"[150, 22]",NA,NA
70,184867,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
71,184868,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
72,184869,iphone,1,"[700, 10]",NA,NA
73,184870,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
