,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,180945,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
1,180946,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
2,180947,wired Headphones,1,"[11.99, 26]",NA,NA
3,180948,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
4,180949,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
5,180950,LG Dryer,1,"[600.0, 1]",NA,NA
6,180951,LG Washing Machine,1,"[600.0, 1]",NA,NA
7,180952,20in Monitor,1,"[109.99, 6]",NA,NA
8,180953,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
9,180954,27in FHD Monitor,1,"[149.99, 11]",NA,NA
10,180955,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
11,180956,LG Washing Machine,1,"[600.0, 1]",NA,NA
12,180957,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
13,180958,Flatscreen Tv,1,"[300, 7]",NA,NA
14,180959,Apple Airpods Headphones,1,"[150, 22]",NA,NA
15,180960,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
16,180961,LG Washing Machine,1,"[600.0, 1]",NA,NA
17,180962,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
18,180963,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
19,180964,Apple Airpods Headphones,1,"[150, 22]",NA,NA
20,180965,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
21,180966,Apple Airpods Headphones,1,"[150, 22]",NA,NA
22,180967,27in FHD Monitor,1,"[149.99, 11]",NA,NA
23,180968,Apple Airpods Headphones,1,"[150, 22]",NA,NA
24,180969,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
25,180970,Google Phone,1,"[600, 8]",NA,NA
26,180971,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
27,180972,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
28,180973,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
29,180974,Apple Airpods Headphones,1,"[150, 22]",NA,NA
30,180975,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
31,180976,iphone,1,"[700, 10]",NA,NA
32,180977,20in Monitor,1,"[109.99, 6]",NA,NA
33,180978,wired Headphones,1,"[11.99, 26]",NA,NA
34,180979,wired Headphones,1,"[11.99, 26]",NA,NA
35,180980,27in FHD Monitor,1,"[149.99, 11]",NA,NA
36,180981,wired Headphones,1,"[11.99, 26]",NA,NA
37,180982,Google Phone,1,"[600, 8]",NA,NA
38,180983,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
39,180984,LG Washing Machine,1,"[600.0, 1]",NA,NA
40,180985,Apple Airpods Headphones,1,"[150, 22]",NA,NA
41,180986,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
42,180987,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
43,180988,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
44,180989,Verybad Phone,1,"[400, 3]",NA,NA
45,180990,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
46,180991,wired Headphones,1,"[11.99, 26]",NA,NA
47,180992,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
48,180993,Google Phone,1,"[600, 8]",NA,NA
49,180994,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
50,180995,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
51,180996,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
52,180997,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
53,180998,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
54,180999,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
55,181000,Apple Airpods Headphones,1,"[150, 22]",NA,NA
56,181001,20in Monitor,1,"[109.99, 6]",NA,NA
57,181002,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
58,181003,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
59,181004,27in FHD Monitor,1,"[149.99, 11]",NA,NA
60,181005,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
61,181006,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
62,181007,wired Headphones,1,"[11.99, 26]",NA,NA
63,181008,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
64,181009,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
65,181010,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
66,181011,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
67,181012,Apple Airpods Headphones,1,"[150, 22]",NA,NA
68,181013,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
