,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,167562,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
1,167563,Google Phone,1,"[600, 8]",NA,NA
2,167564,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
3,167565,Apple Airpods Headphones,1,"[150, 22]",NA,NA
4,167566,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
5,167567,wired Headphones,1,"[11.99, 26]",NA,NA
6,167568,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
7,167569,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
8,167570,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
9,167571,iphone,1,"[700, 10]",NA,NA
10,167572,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
11,167573,wired Headphones,1,"[11.99, 26]",NA,NA
12,167574,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
13,167575,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
14,167576,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
15,167577,LG Dryer,1,"[600.0, 1]",NA,NA
16,167578,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
17,167579,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
18,167580,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
19,167581,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
20,167582,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
21,167583,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
22,167584,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
23,167585,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
24,167586,Apple Airpods Headphones,1,"[150, 22]",NA,NA
25,167587,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
26,167588,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
27,167589,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
28,167590,wired Headphones,1,"[11.99, 26]",NA,NA
29,167591,LG Dryer,1,"[600.0, 1]",NA,NA
30,167592,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
31,167593,Flatscreen Tv,1,"[300, 7]",NA,NA
32,167594,Google Phone,1,"[600, 8]",NA,NA
33,167595,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
34,167596,Google Phone,1,"[600, 8]",NA,NA
35,167597,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
36,167598,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
37,167599,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
38,167600,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
39,167601,20in Monitor,1,"[109.99, 6]",NA,NA
40,167602,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
