,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,228249,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
1,228250,iphone,1,"[700, 10]",NA,NA
2,228251,Apple Airpods Headphones,1,"[150, 22]",NA,NA
3,228252,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
4,228253,wired Headphones,1,"[11.99, 26]",NA,NA
5,228254,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
6,228255,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
7,228256,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
8,228257,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
9,228258,wired Headphones,1,"[11.99, 26]",NA,NA
10,228259,wired Headphones,1,"[11.99, 26]",NA,NA
11,228260,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
12,228261,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
13,228262,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
14,228263,20in Monitor,1,"[109.99, 6]",NA,NA
15,228264,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
16,228265,Google Phone,1,"[600, 8]",NA,NA
17,228266,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
18,228267,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
19,228268,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
20,228269,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
21,228270,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
22,228271,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
23,228272,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
24,228273,Flatscreen Tv,1,"[300, 7]",NA,NA
25,228274,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
26,228275,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
27,228276,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
28,228277,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
29,228278,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
30,228279,Apple Airpods Headphones,1,"[150, 22]",NA,NA
31,228280,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
32,228281,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
33,228282,Apple Airpods Headphones,1,"[150, 22]",NA,NA
34,228283,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
35,228284,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
36,228285,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
37,228286,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
38,228287,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
39,228288,iphone,1,"[700, 10]",NA,NA
40,228289,iphone,1,"[700, 10]",NA,NA
41,228290,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
42,228291,Apple Airpods Headphones,1,"[150, 22]",NA,NA
43,228292,20in Monitor,1,"[109.99, 6]",NA,NA
44,228293,27in FHD Monitor,1,"[149.99, 11]",NA,NA
45,228294,20in Monitor,1,"[109.99, 6]",NA,NA
46,228295,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
47,228296,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
48,228297,Apple Airpods Headphones,1,"[150, 22]",NA,NA
49,228298,wired Headphones,1,"[11.99, 26]",NA,NA
50,228299,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
51,228300,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
52,228301,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
53,228302,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
54,228303,wired Headphones,1,"[11.99, 26]",NA,NA
55,228304,27in FHD Monitor,1,"[149.99, 11]",NA,NA
56,228305,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
57,228306,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
58,228307,Apple Airpods Headphones,1,"[150, 22]",NA,NA
59,228308,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
60,228309,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
61,228310,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
62,228311,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
63,228312,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
64,228313,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
65,228314,Flatscreen Tv,1,"[300, 7]",NA,NA
66,228315,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
67,228316,iphone,1,"[700, 10]",NA,NA
