,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,212912,Apple Airpods Headphones,1,"[150, 22]",NA,NA
1,212913,Google Phone,1,"[600, 8]",NA,NA
2,212914,27in FHD Monitor,1,"[149.99, 11]",NA,NA
3,212915,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
4,212916,Google Phone,1,"[600, 8]",NA,NA
5,212917,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
6,212918,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
7,212919,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
8,212920,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
9,212921,wired Headphones,1,"[11.99, 26]",NA,NA
10,212922,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
11,212923,Apple Airpods Headphones,1,"[150, 22]",NA,NA
12,212924,Google Phone,1,"[600, 8]",NA,NA
13,212925,wired Headphones,1,"[11.99, 26]",NA,NA
14,212926,Google Phone,1,"[600, 8]",NA,NA
15,212927,wired Headphones,1,"[11.99, 26]",NA,NA
16,212928,Apple Airpods Headphones,1,"[150, 22]",NA,NA
17,212929,27in FHD Monitor,1,"[149.99, 11]",NA,NA
18,212930,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
19,212931,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
20,212932,iphone,1,"[700, 10]",NA,NA
21,212933,Flatscreen Tv,1,"[300, 7]",NA,NA
22,212934,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
23,212935,Apple Airpods Headphones,1,"[150, 22]",NA,NA
24,212936,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
25,212937,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
26,212938,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
27,212939,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
28,212940,Apple Airpods Headphones,1,"[150, 22]",NA,NA
29,212941,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
30,212942,wired Headphones,1,"[11.99, 26]",NA,NA
31,212943,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
32,212944,wired Headphones,1,"[11.99, 26]",NA,NA
33,212945,wired Headphones,1,"[11.99, 26]",NA,NA
34,212946,wired Headphones,1,"[11.99, 26]",NA,NA
35,212947,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
36,212948,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
37,212949,20in Monitor,1,"[109.99, 6]",NA,NA
38,212950,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
39,212951,iphone,1,"[700, 10]",NA,NA
40,212952,wired Headphones,1,"[11.99, 26]",NA,NA
41,212953,wired Headphones,1,"[11.99, 26]",NA,NA
42,212954,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
43,212955,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
44,212956,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
45,212957,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
46,212958,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
47,212959,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
48,212960,Flatscreen Tv,1,"[300, 7]",NA,NA
49,212961,Apple Airpods Headphones,1,"[150, 22]",NA,NA
50,212962,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
51,212963,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
52,212964,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
53,212965,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
54,212966,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
55,212967,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
56,212968,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
57,212969,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
58,212970,27in FHD Monitor,1,"[149.99, 11]",NA,NA
59,212971,20in Monitor,1,"[109.99, 6]",NA,NA
60,212972,iphone,1,"[700, 10]",NA,NA
61,212973,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
62,212974,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
63,212975,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
64,212976,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
65,212977,27in FHD Monitor,1,"[149.99, 11]",NA,NA
