,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,206883,Apple Airpods Headphones,1,"[150, 22]",NA,NA
1,206884,Google Phone,1,"[600, 8]",NA,NA
2,206885,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
3,206886,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
4,206887,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
5,206888,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
6,206889,LG Dryer,1,"[600.0, 1]",NA,NA
7,206890,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
8,206891,wired Headphones,1,"[11.99, 26]",NA,NA
9,206892,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
10,206893,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
11,206894,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
12,206895,Google Phone,1,"[600, 8]",NA,NA
13,206896,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
14,206897,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
15,206898,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
16,206899,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
17,206900,iphone,1,"[700, 10]",NA,NA
18,206901,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
19,206902,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
20,206903,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
21,206904,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
22,206905,Apple Airpods Headphones,1,"[150, 22]",NA,NA
23,206906,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
24,206907,Apple Airpods Headphones,1,"[150, 22]",NA,NA
25,206908,Apple Airpods Headphones,1,"[150, 22]",NA,NA
26,206909,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
27,206910,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
28,206911,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
29,206912,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
30,206913,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
31,206914,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
32,206915,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
33,206916,wired Headphones,1,"[11.99, 26]",NA,NA
34,206917,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
35,206918,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
36,206919,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
37,206920,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
38,206921,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
39,206922,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
40,206923,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
41,206924,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
42,206925,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
43,206926,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
44,206927,Flatscreen Tv,1,"[300, 7]",NA,NA
45,206928,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
46,206929,Google Phone,1,"[600, 8]",NA,NA
47,206930,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
48,206931,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
49,206932,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
50,206933,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
51,206934,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
52,206935,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
53,206936,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
54,206937,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
55,206938,27in FHD Monitor,1,"[149.99, 11]",NA,NA
56,206939,20in Monitor,1,"[109.99, 6]",NA,NA
57,206940,wired Headphones,1,"[11.99, 26]",NA,NA
58,206941,27in FHD Monitor,1,"[149.99, 11]",NA,NA
59,206942,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
60,206943,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
61,206944,20in Monitor,1,"[109.99, 6]",NA,NA
62,206945,Google Phone,1,"[600, 8]",NA,NA
63,206946,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
64,206947,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
65,206948,20in Monitor,1,"[109.99, 6]",NA,NA
66,206949,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
67,206950,iphone,1,"[700, 10]",NA,NA
68,206951,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
69,206952,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
70,206953,27in FHD Monitor,1,"[149.99, 11]",NA,NA
71,206954,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
72,206955,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
73,206956,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
74,206957,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
75,206958,Google Phone,1,"[600, 8]",NA,NA
76,206959,Verybad Phone,1,"[400, 3]",NA,NA
77,206960,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
78,206961,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
79,206962,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
80,206963,Thinkpad Laptop,1,"[999.99, 6]",NA,NA
81,206964,Apple Airpods Headphones,1,"[150, 22]",NA,NA
82,206965,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
83,206966,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
84,206967,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
85,206968,Apple Airpods Headphones,1,"[150, 22]",NA,NA
86,206969,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
87,206970,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
88,206971,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
89,206972,wired Headphones,1,"[11.99, 26]",NA,NA
90,206973,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
91,206974,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
92,206975,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
93,206976,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
94,206977,iphone,1,"[700, 10]",NA,NA
95,206978,Flatscreen Tv,1,"[300, 7]",NA,NA
96,206979,wired Headphones,1,"[11.99, 26]",NA,NA
97,206980,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
98,206981,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
99,206982,Apple Airpods Headphones,1,"[150, 22]",NA,NA
100,206983,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
101,206984,Apple Airpods Headphones,1,"[150, 22]",NA,NA
102,206985,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
103,206986,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
104,206987,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
105,206988,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
106,206989,27in FHD Monitor,1,"[149.99, 11]",NA,NA
107,206990,Google Phone,1,"[600, 8]",NA,NA
108,206991,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
109,206992,27in FHD Monitor,1,"[149.99, 11]",NA,NA
110,206993,wired Headphones,1,"[11.99, 26]",NA,NA
111,206994,Flatscreen Tv,1,"[300, 7]",NA,NA
112,206995,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
113,206996,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
114,206997,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
115,206998,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
116,206999,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
117,207000,27in FHD Monitor,1,"[149.99, 11]",NA,NA
118,207001,27in FHD Monitor,1,"[149.99, 11]",NA,NA
119,207002,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
120,207003,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
121,207004,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
122,207005,iphone,1,"[700, 10]",NA,NA
123,207006,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
124,207007,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
125,207008,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
126,207009,Flatscreen Tv,1,"[300, 7]",NA,NA
127,207010,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
128,207011,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
129,207012,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
130,207013,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
131,207014,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
132,207015,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
133,207016,27in FHD Monitor,1,"[149.99, 11]",NA,NA
134,207017,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
135,207018,Apple Airpods Headphones,1,"[150, 22]",NA,NA
136,207019,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
137,207020,27in FHD Monitor,1,"[149.99, 11]",NA,NA
138,207021,27in FHD Monitor,1,"[149.99, 11]",NA,NA
139,207022,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
140,207023,wired Headphones,1,"[11.99, 26]",NA,NA
141,207024,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
142,207025,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
143,207026,wired Headphones,1,"[11.99, 26]",NA,NA
144,207027,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
145,207028,Apple Airpods Headphones,1,"[150, 22]",NA,NA
146,207029,iphone,1,"[700, 10]",NA,NA
147,207030,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
148,207031,Google Phone,1,"[600, 8]",NA,NA
149,207032,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
150,207033,Apple Airpods Headphones,1,"[150, 22]",NA,NA
151,207034,Apple Airpods Headphones,1,"[150, 22]",NA,NA
152,207035,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
153,207036,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
154,207037,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
155,207038,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
156,207039,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
157,207040,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
158,207041,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
159,207042,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
160,207043,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
161,207044,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
162,207045,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
163,207046,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
164,207047,Apple Airpods Headphones,1,"[150, 22]",NA,NA
165,207048,wired Headphones,1,"[11.99, 26]",NA,NA
166,207049,Apple Airpods Headphones,1,"[150, 22]",NA,NA
167,207050,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
168,207051,Verybad Phone,1,"[400, 3]",NA,NA
169,207052,Apple Airpods Headphones,1,"[150, 22]",NA,NA
170,207053,20in Monitor,1,"[109.99, 6]",NA,NA
171,207054,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
172,207055,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
173,207056,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
174,207057,wired Headphones,1,"[11.99, 26]",NA,NA
175,207058,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
176,207059,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
177,207060,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
178,207061,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
179,207062,27in FHD Monitor,1,"[149.99, 11]",NA,NA
180,207063,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
181,207064,Google Phone,1,"[600, 8]",NA,NA
182,207065,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
183,207066,Apple Airpods Headphones,1,"[150, 22]",NA,NA
184,207067,Apple Airpods Headphones,1,"[150, 22]",NA,NA
185,207068,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
186,207069,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
187,207070,wired Headphones,1,"[11.99, 26]",NA,NA
188,207071,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
189,207072,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
190,207073,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
191,207074,Flatscreen Tv,1,"[300, 7]",NA,NA
192,207075,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
193,207076,wired Headphones,1,"[11.99, 26]",NA,NA
194,207077,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
195,207078,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
196,207079,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
197,207080,wired Headphones,1,"[11.99, 26]",NA,NA
198,207081,Apple Airpods Headphones,1,"[150, 22]",NA,NA
199,207082,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
200,207083,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
201,207084,wired Headphones,1,"[11.99, 26]",NA,NA
202,207085,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
203,207086,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
204,207087,27in 4k Gaming Monitor,1,"[389.99, 9]",NA,NA
205,207088,wired Headphones,1,"[11.99, 26]",NA,NA
206,207089,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
207,207090,LG Dryer,1,"[600.0, 1]",NA,NA
208,207091,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
209,207092,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
210,207093,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
211,207094,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
212,207095,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
213,207096,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
214,207097,iphone,1,"[700, 10]",NA,NA
215,207098,iphone,1,"[700, 10]",NA,NA
216,207099,iphone,1,"[700, 10]",NA,NA
217,207100,wired Headphones,1,"[11.99, 26]",NA,NA
218,207101,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
219,207102,wired Headphones,1,"[11.99, 26]",NA,NA
220,207103,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
221,207104,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
222,207105,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
223,207106,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
224,207107,wired Headphones,1,"[11.99, 26]",NA,NA
225,207108,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
226,207109,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
227,207110,iphone,1,"[700, 10]",NA,NA
228,207111,Flatscreen Tv,1,"[300, 7]",NA,NA
229,207112,Bose Soundsport Headphones,1,"[99.99, 19]",NA,NA
230,207113,wired Headphones,1,"[11.99, 26]",NA,NA
231,207114,27in FHD Monitor,1,"[149.99, 11]",NA,NA
